date,inventory_adjustment_id,product_id,item_name,sku,account,quantity,usage_unit,Description
2021-04-23,209792000001126835,209792000001112452,Capsicum Green (Big) (Kg),MGJOMVY2D0,Inventory Asset,10.6,kg,
2021-04-23,209792000001126835,209792000001113427,Carrot Local (Big) (Kg),M20N4ONT1L,Inventory Asset,37.6,kg,
2021-04-23,209792000001126835,209792000001112668,Capsicum Red (Big) (Kg),71T3ZBU7RB,Inventory Asset,6.78,kg,
2021-04-23,209792000001126835,209792000001112470,Ginger (Kg),O98LECRQI4,Inventory Asset,64.8,kg,
2021-04-23,209792000001126835,209792000001112533,Raddish White (Kg),TVIRM9S3HD,Inventory Asset,5.6,kg,
2021-04-23,209792000001126835,209792000001113598,Cabbage (Local) (Kg),M1ZE9DWGQ3,Inventory Asset,67.3,kg,
2021-04-23,209792000001126835,209792000001113262,Spicy Chilly (Kg),EQ4CSESYTK,Inventory Asset,77.3,kg,
2021-04-23,209792000001126835,209792000001113217,Yam (Kg),UFSYGSJ6UQ,Inventory Asset,2.8,kg,
2021-04-23,209792000001126835,209792000001112425,Cucumber (Kg),ILP1KN4HXZ,Inventory Asset,63.7,kg,
2021-04-23,209792000001126835,209792000001112659,Brinjal (Bottle Black) (Kg),1U0HDLOMHW,Inventory Asset,6.4,kg,
2021-04-23,209792000001126835,209792000001112695,Pineapple (Kg),UCFGYGZJI1,Inventory Asset,17.4,kg,
2021-04-23,209792000001126835,209792000001113172,Beans (Horicot) (Kg),SG0M3R0WYP,Inventory Asset,9.9,kg,
2021-04-23,209792000001126835,209792000001112488,Ladies Finger (Kg),M570GR5YJK,Inventory Asset,5.5,kg,
2021-04-23,209792000001126835,209792000001112479,Garlic Whole (Kg),2D9S8746IE,Inventory Asset,27.5,kg,
2021-04-23,209792000001126835,209792000001113289,Ridge Gourd (Kg),57ONNS2IXS,Inventory Asset,4.6,kg,
2021-04-23,209792000001126835,209792000001113100,Lemon (Kg),QGIBVYPVZU,Inventory Asset,41.25,kg,
2021-04-23,209792000001126835,209792000001113862,Banana Raw (Pc),9CXDN6AK7R,Inventory Asset,4,pc,
2021-04-23,209792000001126835,209792000001113082,Mint (Kg),UF2WTO04TC,Inventory Asset,-2.12,kg,
2021-04-23,209792000001126835,209792000001112614,Lettuce (Green) (Kg),L3KWA8JEHV,Inventory Asset,2.1,kg,
